time cost: 12.030840158462524, tokens per second: 27.097026949584293
time cost: 18.181172847747803, tokens per second: 25.190894109822782
time cost: 6.112087965011597, tokens per second: 31.903991093758748
time cost: 9.214385747909546, tokens per second: 29.627585328944484
time cost: 13.803589344024658, tokens per second: 25.862838360555784
time cost: 8.847235918045044, tokens per second: 29.61376891347706
time cost: 6.99024224281311, tokens per second: 30.041877334924646
time cost: 9.614197969436646, tokens per second: 29.33161984977558
time cost: 5.767665147781372, tokens per second: 30.341567257474484
time cost: 28.999744653701782, tokens per second: 21.551913903497752
time cost: 19.677656412124634, tokens per second: 23.630862855877716
time cost: 20.180267095565796, tokens per second: 23.488291693827573
time cost: 13.087860345840454, tokens per second: 27.888439390018647
time cost: 7.427428245544434, tokens per second: 30.83166776298008
time cost: 9.95775556564331, tokens per second: 29.223452823447595
time cost: 8.479395866394043, tokens per second: 29.719098385150144
time cost: 5.1792519092559814, tokens per second: 32.63019504766229
time cost: 3.270498037338257, tokens per second: 33.634021101423784
time cost: 16.386489629745483, tokens per second: 25.569845004473233
time cost: 3.2033181190490723, tokens per second: 32.15415896020227
time cost: 30.298551321029663, tokens per second: 20.892087984439257
